note_idx,time_ms,lane,confidence
0,93,2,0.6800411939620972
1,673,2,0.6760572791099548
2,1219,0,0.7360689640045166
3,3413,3,0.6313614845275879
4,4551,2,0.7124778032302856
5,5108,2,0.6185005903244019
6,5642,3,0.6148956418037415
7,6200,2,0.6121508479118347
8,7419,2,0.6757927536964417
9,7837,1,0.648216724395752
10,9532,3,0.6738624572753906
11,9776,2,0.6257914304733276
12,10089,3,0.6946420669555664
13,10600,2,0.7333402037620544
14,11413,1,0.6267027854919434
15,11703,2,0.6568552851676941
16,12249,2,0.6473063230514526
17,12550,1,0.7338520288467407
18,13874,2,0.6356804370880127
19,14222,0,0.6219003796577454
20,14547,2,0.6207748651504517
21,14930,2,0.6702109575271606
22,16196,2,0.6319658160209656
23,16440,1,0.6864229440689087
24,16765,1,0.6367143392562866
25,17276,0,0.6603463292121887
26,17554,1,0.7457841038703918
27,18425,2,0.6556150913238525
28,18936,2,0.609552264213562
29,19772,0,0.6273153424263
30,20004,1,0.6809839606285095
31,21211,2,0.8265451192855835
32,21827,2,0.6729528307914734
33,23034,2,0.637936532497406
34,23417,2,0.7011288404464722
35,24102,2,0.6041103601455688
36,24381,2,0.6246083974838257
37,24938,2,0.6224300265312195
38,25170,1,0.735923171043396
39,25472,1,0.6457506418228149
40,26459,2,0.8064015507698059
41,26761,0,0.6280777454376221
42,27307,2,0.6970449090003967
43,29095,2,0.6564260721206665
44,29768,0,0.6141040325164795
45,30186,0,0.6967955827713013
46,30639,2,0.7422091960906982
47,32543,0,0.6322723031044006
48,33971,2,0.6790571808815002
49,34238,0,0.6344773173332214
50,34795,0,0.6901869177818298
51,35085,1,0.7767890095710754
52,35329,2,0.7550198435783386
53,35886,2,0.7425152063369751
54,36479,2,0.6602780818939209
55,36746,1,0.665334165096283
56,36989,0,0.6669013500213623
57,37756,2,0.6189413070678711
58,38023,2,0.6267439723014832
59,38383,2,0.7051178216934204
60,39253,2,0.6611695885658264
61,39520,2,0.6454645395278931
62,39811,2,0.7728503942489624
63,40368,2,0.6955638527870178
64,40914,2,0.6848407983779907
65,41471,0,0.7059427499771118
66,41715,2,0.6491201519966125
67,42028,0,0.6669706702232361
68,42713,3,0.7985702157020569
69,43143,2,0.6486861109733582
70,43909,1,0.6152750253677368
71,44420,2,0.6296259164810181
72,44768,1,0.6969989538192749
73,45047,2,0.7424547076225281
74,45917,2,0.7505691051483154
75,46475,2,0.7956205606460571
76,47032,2,0.7694638967514038
77,47578,2,0.7932417988777161
78,48135,2,0.7200562953948975
79,48379,0,0.6538111567497253
80,48692,2,0.6525735259056091
81,49250,2,0.7639026641845703
82,49517,0,0.6554528474807739
83,49807,2,0.7324615716934204
84,50364,2,0.7526505589485168
85,50921,2,0.7624596953392029
86,51479,2,0.8272296190261841
87,52024,2,0.6476098299026489
88,52303,2,0.7296231985092163
89,52593,2,0.6240694522857666
90,53139,2,0.7220470905303955
91,53406,2,0.7051158547401428
92,53696,2,0.775410532951355
93,54242,0,0.8210222125053406
94,54811,2,0.7932958006858826
95,55368,2,0.7646912336349487
96,55623,1,0.6644529104232788
97,55914,2,0.7302696704864502
98,56471,0,0.6093534231185913
99,57028,0,0.7357175946235657
